Time,pH,Hydrogen,Total Gas,Temperature,Pressure,Radioactivity,Power,Reactor Safety,Injection of Air,Injection of Air Degree,Resin Overheat,Resin Overheat Degree,Fuel Element Failure,Fuel Element Failure Degree,Chemical Addition,Vent Gas
0,11.0,50.0,60.0,500.0,2100.0,10.0,100.0,0,,,,,,,False,False
1,10.998,50.112998087342724,60.112998087342724,500.7327033874012,2104.97191584308,10.0,100.0,0,,,,,,,False,False
2,10.995999999999999,50.225941126182164,60.225941126182164,501.4633984857471,2109.930204010427,10.0,100.0,0,,,,,,,False,False
3,10.993999999999998,50.33851732616711,60.33851732616711,502.19008251056323,2114.861274178822,10.0,100.0,0,,,,,,,False,False
4,10.991999999999997,50.450413819831645,60.450413819831645,502.91076367144865,2119.751610627687,10.0,100.0,0,,,,,,,False,False
5,10.989999999999997,50.56131755781492,60.56131755781492,503.6234666314353,2124.5878092847393,10.0,100.0,0,,,,,,,False,False
6,10.987999999999996,50.670916227415766,60.670916227415766,504.3262379212493,2129.35661446562,10.0,100.0,0,,,,,,,False,False
7,10.985999999999995,50.77889919148035,60.77889919148035,505.0171512936342,2134.0449552068035,10.0,100.0,0,,,,,,,False,False
8,10.983999999999995,50.88495844430619,60.88495844430619,505.6943130030612,2138.639981092201,10.0,100.0,0,,,,,,,False,False
9,10.981999999999994,50.98878958094412,60.98878958094412,506.35586699635365,2143.129097475257,10.0,100.0,0,,,,,,,False,False
10,10.979999999999993,51.09009277599546,61.09009277599546,507.0,2147.5,10.0,100.0,0,,,,,,,False,False
11,10.977999999999993,51.188573767737786,61.188573767737786,507.6249464902104,2151.7407083264275,10.0,100.0,0,,,,,,,False,False
12,10.975999999999992,51.283944843174616,61.283944843174616,508.22899353209465,2155.839598967785,10.0,100.0,0,,,,,,,False,False
13,10.973999999999991,51.37592581939425,61.37592581939425,508.8104854746977,2159.7854371497347,10.0,100.0,0,,,,,,,False,False
14,10.97199999999999,51.46424501644614,61.46424501644614,509.367828489024,2163.5674076040914,10.0,100.0,0,,,,,,,False,False
15,10.96999999999999,51.54864021680131,61.54864021680131,509.8994949366117,2167.175144212722,10.0,100.0,0,,,,,,,False,False
16,10.96799999999999,51.62885960636053,61.62885960636053,510.4040275566835,2170.5987584203526,10.0,100.0,0,,,,,,,False,False
17,10.965999999999989,51.70466269191275,61.70466269191275,510.8800434603976,2173.8288663384124,10.0,100.0,0,,,,,,,False,False
18,10.963999999999988,51.77582118992791,61.77582118992791,511.3262379212493,2176.85661446562,10.0,100.0,0,,,,,,,False,False
19,10.961999999999987,51.84211988159545,61.84211988159545,511.74138795123594,2179.673703954815,10.0,100.0,0,,,,,,,False,False
20,10.959999999999987,51.90335742909373,61.90335742909373,512.1243556529821,2182.2724133595216,10.0,100.0,0,,,,,,,False,False
21,10.957999999999986,51.95934714819551,61.95934714819551,512.4740913386371,2184.645619797895,10.0,100.0,0,,,,,,,False,False
22,10.955999999999985,52.0099177324825,62.0099177324825,512.7896364069965,2186.7868184760473,10.0,100.0,0,,,,,,,False,False
23,10.953999999999985,52.05491392465548,62.05491392465548,513.0701259709608,2188.6901405172343,10.0,100.0,0,,,,,,,False,False
24,10.951999999999984,52.09419713068563,62.09419713068563,513.3147912281321,2190.3503690480397,10.0,100.0,0,,,,,,,False,False
25,10.949999999999983,52.12764597285469,62.12764597285469,513.522961568047,2191.7629534974617,10.0,100.0,0,,,,,,,False,False
26,10.947999999999983,52.15515677807489,62.15515677807489,513.6940664102733,2192.9240220697116,10.0,100.0,0,,,,,,,False,False
27,10.945999999999982,52.17664399826054,62.17664399826054,513.8276367683319,2193.830392356538,10.0,100.0,0,,,,,,,False,False
28,10.943999999999981,52.19204055993819,62.19204055993819,513.9233065351558,2194.479580059986,10.0,100.0,0,,,,,,,False,False
29,10.94199999999998,52.20129814072831,62.20129814072831,513.980813486564,2194.8698058016844,10.0,100.0,0,,,,,,,False,False
30,10.93999999999998,52.20438737080216,62.20438737080216,514.0,2195.0,10.0,100.0,0,,,,,,,False,False
31,10.93799999999998,52.20129795791021,62.20129795791021,513.980813486564,2194.8698058016844,10.0,100.0,0,,,,,,,False,False
32,10.935999999999979,52.192038735086,62.192038735086,513.9233065351558,2194.479580059986,10.0,100.0,0,,,,,,,False,False
33,10.933999999999978,52.176637630647505,62.176637630647505,513.8276367683319,2193.830392356538,10.0,100.0,0,,,,,,,False,False
34,10.931999999999977,52.155141560640715,62.155141560640715,513.6940664102733,2192.9240220697116,10.0,100.0,0,,,,,,,False,False
35,10.929999999999977,52.12761624439194,62.12761624439194,513.522961568047,2191.7629534974617,10.0,100.0,0,,,,,,,False,False
36,10.927999999999976,52.09414594435,62.09414594435,513.3147912281322,2190.3503690480397,10.0,100.0,0,,,,,,,False,False
37,10.925999999999975,52.054833131902384,62.054833131902384,513.0701259709608,2188.6901405172343,10.0,100.0,0,,,,,,,False,False
38,10.923999999999975,52.00979808133408,62.00979808133408,512.7896364069965,2186.7868184760473,10.0,100.0,0,,,,,,,False,False
